Source Destination Heuristic
52 180 0.9098
52 116 0.8707
52 60 0.8933
52 54 0.4392
52 53 0.6753
53 565 0.4563
53 309 0.6704
53 181 0.5411
53 117 0.4286
53 61 0.5475
53 55 0.5405
54 566 0.3090
54 310 0.3392
54 182 0.3290
54 118 0.4575
54 62 0.1806
54 55 0.3044
55 567 0.5998
55 311 0.5491
55 183 0.3221
55 119 0.7308
55 63 0.7056
56 568 0.8148
56 312 0.9172
56 184 0.4414
56 120 0.7228
56 60 0.9025
56 58 0.7981
56 57 0.8053
57 569 0.6841
57 313 0.6232
57 185 0.5100
57 121 0.5311
57 61 0.6683
57 59 0.4720
58 570 0.8364
58 314 0.4038
58 186 0.6001
58 122 0.8151
58 62 0.5302
58 59 0.4648
59 571 0.3016
59 315 0.3656
59 187 0.2818
59 123 0.4791
59 63 0.5164
60 572 0.6411
60 316 0.5484
60 188 0.5355
60 124 0.6806
60 62 0.6348
60 61 0.7655
61 573 0.5825
61 317 0.4136
61 189 0.5005
61 125 0.7505
61 63 0.7126
62 574 0.4871
62 318 0.3051
62 190 0.5055
62 126 0.5144
62 63 0.5818
63 575 0.4461
63 319 0.5602
63 191 0.8490
63 127 0.5995
64 576 0.2968
64 320 0.2069
64 192 0.6946
64 96 0.4934
64 80 0.3181
64 72 0.6613
64 68 0.3346
64 66 0.6413
64 65 0.2101
65 577 0.3412
65 321 0.0900
65 193 0.3351
65 97 0.2939
65 81 0.3853
65 73 0.1182
65 69 0.4642
65 67 0.2955
66 578 0.6876
66 322 0.7058
66 194 0.5545
66 98 0.6097
66 82 0.7051
66 74 0.4468
66 70 0.5911
66 67 0.7268
67 579 0.7093
67 323 0.4535
67 195 0.6425
67 99 0.3356
67 83 0.2860
67 75 0.2870
67 71 0.7099
68 580 0.4713
68 324 0.5658
68 196 0.3621
68 100 0.2440
68 84 0.6004
68 76 0.5281
68 70 0.2843
68 69 0.5887
69 581 0.7551
69 325 0.5131
69 197 0.7273
69 101 0.8212
69 85 0.6734
69 77 0.5337
69 71 0.8786
70 582 0.5488
70 326 0.2334
70 198 0.6462
70 102 0.5933
70 86 0.3300
70 78 0.5876
70 71 0.5742
71 583 0.4537
71 327 0.5393
71 199 0.6968
71 103 0.8071
71 87 0.5494
71 79 0.5441
72 584 0.5335
72 328 0.6551
72 200 0.6010
72 104 0.4782
72 88 0.9123
72 76 0.8548
72 74 0.4667
72 73 0.5694
73 585 0.1260
73 329 0.1247
73 201 0.5126
73 105 0.4304
73 89 0.5531
73 77 0.1877
73 75 0.1097
74 586 0.4983
74 330 0.4329
74 202 0.1357
74 106 0.4330
74 90 0.4734
74 78 0.4433
74 75 0.0071
75 587 0.3541
75 331 0.0404
75 203 0.1969
75 107 0.4728
75 91 0.1668
75 79 0.1212
76 588 0.7604
76 332 0.5247
76 204 0.6309
76 108 0.6556
76 92 0.7165
76 78 0.8314
76 77 0.4731
77 589 0.5071
77 333 0.2092
77 205 0.2379
77 109 0.2909
77 93 0.1885
77 79 0.1992
78 590 0.8949
78 334 0.6860
78 206 0.8406
78 110 0.5325
78 94 0.8217
78 79 0.5575
79 591 0.4839
79 335 0.1992
79 207 0.3153
79 111 0.1970
79 95 0.2943
80 592 0.2068
80 336 0.2868
80 208 0.4804
80 112 0.5844
80 88 0.5693
80 84 0.5839
80 82 0.3820
80 81 0.4934
81 593 0.8002
81 337 0.7969
81 209 0.5334
81 113 0.3977
81 89 0.8202
81 85 0.5945
81 83 0.3758
82 594 0.6034
82 338 0.5597
82 210 0.3968
82 114 0.4019
82 90 0.7318
82 86 0.4440
82 83 0.2644
83 595 0.4056
83 339 0.2123
83 211 0.3034
83 115 0.1448
83 91 0.1658
83 87 0.1256
84 596 0.6258
84 340 0.8992
84 212 0.6714
84 116 0.9255
84 92 0.7888
84 86 0.6461
84 85 0.6851
85 597 0.5968
85 341 0.5537
85 213 0.3545
85 117 0.3836
85 93 0.3281
85 87 0.3443
86 598 0.2433
86 342 0.4361
86 214 0.6405
86 118 0.6095
86 94 0.5642
86 87 0.3053
87 599 0.5184
87 343 0.5424
87 215 0.2483
87 119 0.5796
87 95 0.2997
88 600 0.7292
88 344 0.7434
88 216 0.5962
88 120 0.7536
88 92 0.7741
88 90 0.9191
88 89 0.8961
89 601 0.6589
89 345 0.9201
89 217 0.7109
89 121 0.5910
89 93 0.5538
89 91 0.6101
90 602 0.8873
90 346 0.9002
90 218 0.7046
90 122 0.9052
90 94 0.8518
90 91 0.6331
91 603 0.4303
91 347 0.4871
91 219 0.4682
91 123 0.5573
91 95 0.3398
92 604 0.6702
92 348 0.3824
92 220 0.4039
92 124 0.5212
92 94 0.7069
92 93 0.4319
93 605 0.4889
93 349 0.6031
93 221 0.2265
93 125 0.5761
93 95 0.2835
94 606 0.4253
94 350 0.3991
94 222 0.5482
94 126 0.7459
94 95 0.5586
95 607 0.3027
95 351 0.3816
95 223 0.3030
95 127 0.3448
96 608 0.5570
96 352 0.3508
96 224 0.4470
96 112 0.7596
96 104 0.3104
96 100 0.4027
96 98 0.4617
96 97 0.5772
97 609 0.5428
97 353 0.3208
97 225 0.5111
97 113 0.3063
97 105 0.6061
97 101 0.6508
97 99 0.3339
98 610 0.6362
98 354 0.5576
98 226 0.2394
98 114 0.3065
98 106 0.5959
98 102 0.6119
98 99 0.2185
99 611 0.3433
99 355 0.0989
99 227 0.2287
99 115 0.1943
99 107 0.5213
99 103 0.4327
100 612 0.5742
100 356 0.2598
100 228 0.2122
100 116 0.5690
100 108 0.3715
100 102 0.5528
100 101 0.4764
101 613 0.6772
101 357 0.8276
101 229 0.6677
101 117 0.5314
101 109 0.5783
101 103 0.7497
102 614 0.5824
102 358 0.7949
102 230 0.4830
102 118 0.8728
102 110 0.5382
102 103 0.8261
103 615 0.6112
103 359 0.5326
103 231 0.8335
103 119 0.8373
103 111 0.4600
104 616 0.0542
104 360 0.4193
104 232 0.0436
104 120 0.3195
104 108 0.2791
104 106 0.4446
104 105 0.3393
105 617 0.5561
105 361 0.7391
105 233 0.4853
105 121 0.4684
105 109 0.5336
105 107 0.7935
106 618 0.7863
106 362 0.9117
106 234 0.8725
106 122 0.8648
106 110 0.5223
106 107 0.8988
107 619 0.9037
107 363 0.5336
107 235 0.6417
107 123 0.8634
107 111 0.5485
108 620 0.5567
108 364 0.5373
108 236 0.3445
108 124 0.4603
108 110 0.3568
108 109 0.4734
109 621 0.5252
109 365 0.6044
109 237 0.2960
109 125 0.6786
109 111 0.2886
110 622 0.3181
110 366 0.5706
110 238 0.4198
110 126 0.4567
110 111 0.1720
111 623 0.1583
111 367 0.2902
111 239 0.1047
111 127 0.2475
112 624 0.5021
112 368 0.5076
112 240 0.7130
112 120 0.7688
112 116 0.9259
112 114 0.6043
112 113 0.4887
113 625 0.3172
113 369 0.2909
113 241 0.2099
113 121 0.1685
113 117 0.1868
113 115 0.1666
114 626 0.3386
114 370 0.1762
114 242 0.3982
114 122 0.5754
114 118 0.5674
114 115 0.2823
115 627 0.2739
115 371 0.4766
115 243 0.1763
115 123 0.5363
115 119 0.5988
116 628 0.9535
116 372 0.9310
116 244 0.9596
116 124 0.6580
116 118 0.8890
116 117 0.6240
117 629 0.2813
117 373 0.5581
117 245 0.3579
117 125 0.6317
117 119 0.6190
118 630 0.8727
118 374 0.4978
118 246 0.5781
118 126 0.7913
118 119 0.8839
119 631 0.5656
119 375 0.9149
119 247 0.8593
119 127 0.6247
120 632 0.7344
120 376 0.5535
120 248 0.5911
120 124 0.5008
120 122 0.7398
120 121 0.4486
121 633 0.5811
121 377 0.6402
121 249 0.5507
121 125 0.6133
121 123 0.5382
122 634 0.9291
122 378 0.8960
122 250 0.7668
122 126 0.7993
122 123 0.8294
123 635 0.5886
123 379 0.5874
123 251 0.7654
123 127 0.5623
124 636 0.4538
124 380 0.2747
124 252 0.2420
124 126 0.5602
124 125 0.6655
125 637 0.4705
125 381 0.4816
125 253 0.6685
125 127 0.6374
126 638 0.3990
126 382 0.4512
126 254 0.3813
126 127 0.5321
127 639 0.6158
127 383 0.6096
127 255 0.4570
128 640 0.4377
128 384 0.3042
128 192 0.6426
128 160 0.3645
128 144 0.4797
128 136 0.3177
128 132 0.4301
128 130 0.2517
128 129 0.3216
129 641 0.6147
129 385 0.3016
129 193 0.4987
129 161 0.3440
129 145 0.5514
129 137 0.2890
129 133 0.1772
129 131 0.2014
130 642 0.1879
130 386 0.3992
130 194 0.2168
130 162 0.5123
130 146 0.2006
130 138 0.4485
130 134 0.2763
130 131 0.1315
131 643 0.1863
131 387 0.1147
131 195 0.3848
131 163 0.1703
131 147 0.2452
131 139 0.4569
131 135 0.2516
132 644 0.3794
132 388 0.4459
132 196 0.5096
132 164 0.7005
132 148 0.6045
132 140 0.3704
132 134 0.4546
132 133 0.2857
133 645 0.3612
133 389 0.0943
133 197 0.2768
133 165 0.4284
133 149 0.3855
133 141 0.0263
133 135 0.2274
134 646 0.5943
134 390 0.6165
134 198 0.6691
134 166 0.6428
134 150 0.3943
134 142 0.4280
134 135 0.3964
135 647 0.5869
135 391 0.3640
135 199 0.4962
135 167 0.4055
135 151 0.6607
135 143 0.5987
136 648 0.5058
136 392 0.4857
136 200 0.3095
136 168 0.3316
136 152 0.1734
136 140 0.2581
136 138 0.5146
136 137 0.2851
137 649 0.2662
137 393 0.4866
137 201 0.5198
137 169 0.5859
137 153 0.2740
137 141 0.1380
137 139 0.5444
138 650 0.3607
138 394 0.4787
138 202 0.4751
138 170 0.8112
138 154 0.6164
138 142 0.6001
138 139 0.7739
139 651 0.7647
139 395 0.8724
139 203 0.6243
139 171 0.9255
139 155 0.8569
139 143 0.8040
140 652 0.3633
140 396 0.5785
140 204 0.3257
140 172 0.3711
140 156 0.2939
140 142 0.3437
140 141 0.1109
141 653 0.3523
141 397 0.2484
141 205 0.1809
141 173 0.2872
141 157 0.0810
141 143 0.3976
142 654 0.7331
142 398 0.4022
142 206 0.6581
142 174 0.5078
142 158 0.3985
142 143 0.6302
143 655 0.6668
143 399 0.4402
143 207 0.5706
143 175 0.8307
143 159 0.5253
144 656 0.7440
144 400 0.8196
144 208 0.6939
144 176 0.6501
144 152 0.3353
144 148 0.6541
144 146 0.4286
144 145 0.7093
145 657 0.5025
145 401 0.4969
145 209 0.5358
145 177 0.4843
145 153 0.5363
145 149 0.7595
145 147 0.5950
146 658 0.4512
146 402 0.1912
146 210 0.2299
146 178 0.5476
146 154 0.3686
146 150 0.3187
146 147 0.3143
147 659 0.7056
147 403 0.2458
147 211 0.5202
147 179 0.2414
147 155 0.6452
147 151 0.6542
148 660 0.7211
148 404 0.4315
148 212 0.5281
148 180 0.8213
148 156 0.5281
148 150 0.5442
148 149 0.7043
149 661 0.7984
149 405 0.7114
149 213 0.5171
149 181 0.6586
149 157 0.4402
149 151 0.8188
150 662 0.4066
150 406 0.3657
150 214 0.6820
150 182 0.5225
150 158 0.3649
150 151 0.6586
151 663 0.4447
151 407 0.5049
151 215 0.5602
151 183 0.4829
151 159 0.5873
152 664 0.2374
152 408 0.2158
152 216 0.1488
152 184 0.0249
152 156 0.2093
152 154 0.2753
152 153 0.1623
153 665 0.4326
153 409 0.5847
153 217 0.4246
153 185 0.2836
153 157 0.2170
153 155 0.5865
154 666 0.7386
154 410 0.5857
154 218 0.5083
154 186 0.4940
154 158 0.4148
154 155 0.6995
155 667 0.6550
155 411 0.5581
155 219 0.7309
155 187 0.6226
155 159 0.5783
156 668 0.6353
156 412 0.5215
156 220 0.2865
156 188 0.2589
156 158 0.3488
156 157 0.2640
157 669 0.3683
157 413 0.2617
157 221 0.1760
157 189 0.2756
157 159 0.2087
158 670 0.2872
158 414 0.5635
158 222 0.3074
158 190 0.4962
158 159 0.2935
159 671 0.2441
159 415 0.4821
159 223 0.2787
159 191 0.5700
160 672 0.5814
160 416 0.2347
160 224 0.3702
160 176 0.5350
160 168 0.3784
160 164 0.6350
160 162 0.6251
160 161 0.3870
161 673 0.3985
161 417 0.3389
161 225 0.3977
161 177 0.2770
161 169 0.6410
161 165 0.5952
161 163 0.3129
162 674 0.4182
162 418 0.7661
162 226 0.4797
162 178 0.8593
162 170 0.8750
162 166 0.8788
162 163 0.5511
163 675 0.6121
163 419 0.1589
163 227 0.3211
163 179 0.1666
163 171 0.6389
163 167 0.3243
164 676 0.5262
164 420 0.7974
164 228 0.5212
164 180 0.9172
164 172 0.7012
164 166 0.8885
164 165 0.8432
165 677 0.6464
165 421 0.7222
165 229 0.7254
165 181 0.7016
165 173 0.6893
165 167 0.6066
166 678 0.6579
166 422 0.5852
166 230 0.5097
166 182 0.7709
166 174 0.7226
166 167 0.6519
167 679 0.5064
167 423 0.3617
167 231 0.6325
167 183 0.2277
167 175 0.6375
168 680 0.3768
168 424 0.2102
168 232 0.1885
168 184 0.1830
168 172 0.4447
168 170 0.6282
168 169 0.6324
169 681 0.5117
169 425 0.5672
169 233 0.6336
169 185 0.5956
169 173 0.7351
169 171 0.9670
170 682 0.9036
170 426 0.6885
170 234 0.9113
170 186 0.6887
170 174 0.7188
170 171 0.9628
171 683 0.5816
171 427 0.9410
171 235 0.6669
171 187 0.6912
171 175 0.9522
172 684 0.6421
172 428 0.6604
172 236 0.3652
172 188 0.3360
172 174 0.5353
172 173 0.5474
173 685 0.4460
173 429 0.6154
173 237 0.3492
173 189 0.4818
173 175 0.7203
174 686 0.3378
174 430 0.3972
174 238 0.5775
174 190 0.6055
174 175 0.7083
175 687 0.8279
175 431 0.8524
175 239 0.4831
175 191 0.8754
176 688 0.3638
176 432 0.6077
176 240 0.5653
176 184 0.3397
176 180 0.8173
176 178 0.7691
176 177 0.4251
177 689 0.2888
177 433 0.1898
177 241 0.2941
177 185 0.2315
177 181 0.3833
177 179 0.1307
178 690 0.7319
178 434 0.8319
178 242 0.7107
178 186 0.6729
178 182 0.7514
178 179 0.4748
179 691 0.1665
179 435 0.4403
179 243 0.0562
179 187 0.2188
179 183 0.0701
180 692 0.5751
180 436 0.9604
180 244 0.9987
180 188 0.5520
180 182 0.7995
180 181 0.7755
181 693 0.4138
181 437 0.7032
181 245 0.4703
181 189 0.4940
181 183 0.3227
182 694 0.5568
182 438 0.5043
182 246 0.4496
182 190 0.6538
182 183 0.3467
183 695 0.4110
183 439 0.4866
183 247 0.4506
183 191 0.4655
184 696 0.3486
184 440 0.4114
184 248 0.3098
184 188 0.0744
184 186 0.2435
184 185 0.1462
185 697 0.1468
185 441 0.3333
185 249 0.5296
185 189 0.3422
185 187 0.3197
186 698 0.7086
186 442 0.6285
186 250 0.5518
186 190 0.5754
186 187 0.4171
187 699 0.2107
187 443 0.4653
187 251 0.5681
187 191 0.6143
188 700 0.2218
188 444 0.5494
188 252 0.0970
188 190 0.4062
188 189 0.2704
189 701 0.2908
189 445 0.3254
189 253 0.4185
189 191 0.6368
190 702 0.4474
190 446 0.4966
190 254 0.3724
190 191 0.7727
191 703 0.8693
191 447 0.5274
191 255 0.7065
192 704 0.7362
192 448 0.8156
192 224 0.6483
192 208 0.8569
192 200 0.6344
192 196 0.7221
192 194 0.6078
192 193 0.8196
193 705 0.6190
193 449 0.6237
193 225 0.5523
193 209 0.4832
193 201 0.7295
193 197 0.5982
193 195 0.6821
194 706 0.3744
194 450 0.4678
194 226 0.1842
194 210 0.2462
194 202 0.2434
194 198 0.6097
194 195 0.4702
195 707 0.6571
195 451 0.4254
195 227 0.5356
195 211 0.6599
195 203 0.5523
195 199 0.6294
196 708 0.5352
196 452 0.5377
196 228 0.3303
196 212 0.4331
196 204 0.4649
196 198 0.7240
196 197 0.5007
197 709 0.7116
197 453 0.5931
197 229 0.5738
197 213 0.4084
197 205 0.4315
197 199 0.5456
198 710 0.5030
198 454 0.5602
198 230 0.5360
198 214 0.9567
198 206 0.8992
198 199 0.7689
199 711 0.3067
199 455 0.6719
199 231 0.7232
199 215 0.3957
199 207 0.4681
200 712 0.1761
200 456 0.3256
200 232 0.1664
200 216 0.2849
200 204 0.3771
200 202 0.2701
200 201 0.5442
201 713 0.8179
201 457 0.6024
201 233 0.5674
201 217 0.6704
201 205 0.5627
201 203 0.5997
202 714 0.3424
202 458 0.4556
202 234 0.5752
202 218 0.3669
202 206 0.5330
202 203 0.3256
203 715 0.5107
203 459 0.4775
203 235 0.3658
203 219 0.4983
203 207 0.3910
204 716 0.5401
204 460 0.4037
204 236 0.3198
204 220 0.3183
204 206 0.6401
204 205 0.3957
205 717 0.5995
205 461 0.2582
205 237 0.2429
205 221 0.2760
205 207 0.3539
206 718 0.4195
206 462 0.7366
206 238 0.7278
206 222 0.5670
206 207 0.5984
207 719 0.2653
207 463 0.5535
207 239 0.2230
207 223 0.3240
208 720 0.6474
208 464 0.3934
208 240 0.6090
208 216 0.5073
208 212 0.5678
208 210 0.4952
208 209 0.5204
209 721 0.6328
209 465 0.6298
209 241 0.3456
209 217 0.4241
209 213 0.2934
209 211 0.4610
210 722 0.5138
210 466 0.3118
210 242 0.3931
210 218 0.3697
210 214 0.5933
210 211 0.4359
211 723 0.4594
211 467 0.5940
211 243 0.3350
211 219 0.6059
211 215 0.4262
212 724 0.4943
212 468 0.3876
212 244 0.7055
212 220 0.2865
212 214 0.6659
212 213 0.3408
213 725 0.2091
213 469 0.4989
213 245 0.3287
213 221 0.2530
213 215 0.2586
214 726 0.6017
214 470 0.7001
214 246 0.6090
214 222 0.6245
214 215 0.5836
215 727 0.1386
215 471 0.5768
215 247 0.5280
215 223 0.2516
216 728 0.5039
216 472 0.3421
216 248 0.4337
216 220 0.2261
216 218 0.3818
216 217 0.4111
217 729 0.4745
217 473 0.4012
217 249 0.6706
217 221 0.3837
217 219 0.5691
218 730 0.2675
218 474 0.3068
218 250 0.5662
218 222 0.4009
218 219 0.5397
219 731 0.3190
219 475 0.3130
219 251 0.6764
219 223 0.4314
220 732 0.5406
220 476 0.4252
220 252 0.1247
220 222 0.2452
220 221 0.1986
221 733 0.3883
221 477 0.1424
221 253 0.3189
221 223 0.2460
222 734 0.3397
222 478 0.3952
222 254 0.1835
222 223 0.2925
223 735 0.4142
223 479 0.2427
223 255 0.4152
224 736 0.5890
224 480 0.5772
224 240 0.4004
224 232 0.1803
224 228 0.2564
224 226 0.2247
224 225 0.3809
225 737 0.6155
225 481 0.2788
225 241 0.4147
225 233 0.3902
225 229 0.5279
225 227 0.4058
226 738 0.5685
226 482 0.3028
226 242 0.3311
226 234 0.5160
226 230 0.1105
226 227 0.2496
227 739 0.5532
227 483 0.6475
227 243 0.2107
227 235 0.3491
227 231 0.6294
228 740 0.5756
228 484 0.5691
228 244 0.6027
228 236 0.1852
228 230 0.1423
228 229 0.4034
229 741 0.3733
229 485 0.4455
229 245 0.4941
229 237 0.3853
229 231 0.7514
230 742 0.2837
230 486 0.2098
230 246 0.1883
230 238 0.3645
230 231 0.4903
231 743 0.7100
231 487 0.5290
231 247 0.8555
231 239 0.4781
232 744 0.0336
232 488 0.0867
232 248 0.3153
232 236 0.1091
232 234 0.4716
232 233 0.1896
233 745 0.6600
233 489 0.2011
233 249 0.5676
233 237 0.2476
233 235 0.3335
234 746 0.6136
234 490 0.5954
234 250 0.7745
234 238 0.7700
234 235 0.6154
235 747 0.5512
235 491 0.1789
235 251 0.5438
235 239 0.1978
236 748 0.4260
236 492 0.2139
236 252 0.1262
236 238 0.4074
236 237 0.1671
237 749 0.2526
237 493 0.1476
237 253 0.2859
237 239 0.1121
238 750 0.6750
238 494 0.8004
238 254 0.3443
238 239 0.3524
239 751 0.3073
239 495 0.0789
239 255 0.3142
240 752 0.4294
240 496 0.2857
240 248 0.5354
240 244 0.7467
240 242 0.5069
240 241 0.4343
241 753 0.6610
241 497 0.6304
241 249 0.5921
241 245 0.3810
241 243 0.2196
242 754 0.5109
242 498 0.3186
242 250 0.5897
242 246 0.4089
242 243 0.2922
243 755 0.0946
243 499 0.2033
243 251 0.4054
243 247 0.4368
244 756 0.9536
244 500 0.6742
244 252 0.5436
244 246 0.6487
244 245 0.6934
245 757 0.4488
245 501 0.2338
245 253 0.3947
245 247 0.5981
246 758 0.2080
246 502 0.3555
246 254 0.1681
246 247 0.5534
247 759 0.4585
247 503 0.4209
247 255 0.6915
248 760 0.4114
248 504 0.2888
248 252 0.3323
248 250 0.6181
248 249 0.6933
249 761 0.8337
249 505 0.6096
249 253 0.6059
249 251 0.7780
250 762 0.3365
250 506 0.5223
250 254 0.3488
250 251 0.7028
251 763 0.4391
251 507 0.7797
251 255 0.6602
252 764 0.4276
252 508 0.0940
252 254 0.0630
252 253 0.2450
253 765 0.5641
253 509 0.6302
253 255 0.4881
254 766 0.2685
254 510 0.2417
254 255 0.3062
255 767 0.3829
255 511 0.5944
256 768 0.4030
256 384 0.1704
256 320 0.0212
256 288 0.1937
256 272 0.2984
256 264 0.1786
256 260 0.3508
256 258 0.2357
256 257 0.3277
257 769 0.4189
257 385 0.4414
257 321 0.3933
257 289 0.5806
257 273 0.3397
257 265 0.4402
257 261 0.4637
257 259 0.7355
